Entity,Code,Year,Female labor force participation rate (OWID based on OECD 2017 and others)
Canada,CAN,1911,15.8
Canada,CAN,1921,17.2
Canada,CAN,1931,19.1
Canada,CAN,1941,22.3
Canada,CAN,1951,23.5
Canada,CAN,1976,45.69663104
Canada,CAN,1977,46.53247651
Canada,CAN,1978,47.939713
Canada,CAN,1979,49.37977151
Canada,CAN,1980,50.60008321
Canada,CAN,1981,52.01931335
Canada,CAN,1982,52.12957903
Canada,CAN,1983,52.97097174
Canada,CAN,1984,53.77408698
Canada,CAN,1985,54.85863272
Canada,CAN,1986,55.65113571
Canada,CAN,1987,56.45728303
Canada,CAN,1988,57.42196807
Canada,CAN,1989,58.1069781
Canada,CAN,1990,58.5007821
Canada,CAN,1991,58.43091868
Canada,CAN,1992,57.84001296
Canada,CAN,1993,57.66309899
Canada,CAN,1994,57.51817393
Canada,CAN,1995,57.48084664
Canada,CAN,1996,57.45813397
Canada,CAN,1997,57.78502014
Canada,CAN,1998,58.37572781
Canada,CAN,1999,58.90046516
Canada,CAN,2000,59.39395424
Canada,CAN,2001,59.75309992
Canada,CAN,2002,60.90394779
Canada,CAN,2003,61.89055624
Canada,CAN,2004,61.98541762
Canada,CAN,2005,61.65647486
Canada,CAN,2006,61.88239684
Canada,CAN,2007,62.51329423
Canada,CAN,2008,62.55272596
Canada,CAN,2009,62.42666304
Canada,CAN,2010,62.41329146
Canada,CAN,2011,62.15648479
Canada,CAN,2012,62.12900801
Canada,CAN,2013,62.16907648
Canada,CAN,2014,61.55294922
Canada,CAN,2015,61.21929644
Canada,CAN,2016,61.276097
France,FRA,1968,39.41913454
France,FRA,1969,39.69047102
France,FRA,1970,39.54124614
France,FRA,1971,39.41764549
France,FRA,1972,40.01818436
France,FRA,1973,40.57292327
France,FRA,1974,41.28434385
France,FRA,1975,42.05643599
France,FRA,1976,42.58115848
France,FRA,1977,43.4704852
France,FRA,1978,43.29112892
France,FRA,1979,44.19247882
France,FRA,1980,44.40090868
France,FRA,1981,44.63221406
France,FRA,1982,44.94097889
France,FRA,1983,44.88461965
France,FRA,1984,45.25052472
France,FRA,1985,45.33392276
France,FRA,1986,45.81231526
France,FRA,1987,45.76205461
France,FRA,1988,45.58803796
France,FRA,1989,45.8657732
France,FRA,1990,45.87635212
France,FRA,1991,46.01904766
France,FRA,1992,46.42081955
France,FRA,1993,46.89121289
France,FRA,1994,46.99060696
France,FRA,1995,47.25349389
France,FRA,1996,47.59214638
France,FRA,1997,47.21701597
France,FRA,1998,47.63105298
France,FRA,1999,47.90396499
France,FRA,2000,48.1667352
France,FRA,2001,48.25535608
France,FRA,2002,48.45080665
France,FRA,2003,50.16999776
France,FRA,2004,50.32735776
France,FRA,2005,50.4554284
France,FRA,2006,50.52829435
France,FRA,2007,50.89228145
France,FRA,2008,51.09590612
France,FRA,2009,51.44650842
France,FRA,2010,51.45932889
France,FRA,2011,51.32772093
France,FRA,2012,51.55087014
France,FRA,2013,51.73209079
France,FRA,2014,51.79865001
France,FRA,2015,51.71530778
France,FRA,2016,51.71959543
Germany,DEU,1895,36.2
Germany,DEU,1907,44.1
Germany,DEU,1925,45.7
Germany,DEU,1933,43.7
Germany,DEU,1939,46.1
Germany,DEU,1946,38
Germany,DEU,1950,39.3
Germany,DEU,1970,38.58340352
Germany,DEU,1971,38.77915988
Germany,DEU,1972,39.24614596
Germany,DEU,1973,39.79587847
Germany,DEU,1974,39.88425836
Germany,DEU,1975,39.85145642
Germany,DEU,1976,39.81106613
Germany,DEU,1977,39.78680164
Germany,DEU,1978,39.95124181
Germany,DEU,1979,40.24643762
Germany,DEU,1980,40.71104784
Germany,DEU,1981,41.1117717
Germany,DEU,1982,41.19319231
Germany,DEU,1983,41.07070633
Germany,DEU,1984,40.57492758
Germany,DEU,1985,41.10509368
Germany,DEU,1986,41.39024746
Germany,DEU,1987,41.5719027
Germany,DEU,1988,42.12615457
Germany,DEU,1989,42.52678847
Germany,DEU,1990,43.34071666
Germany,DEU,1991,47.68506632
Germany,DEU,1992,47.36648042
Germany,DEU,1993,47.22911264
Germany,DEU,1994,47.06543421
Germany,DEU,1995,47.10189653
Germany,DEU,1996,47.39287414
Germany,DEU,1997,47.78674561
Germany,DEU,1998,48.20123822
Germany,DEU,1999,49.01955244
Germany,DEU,2000,49.05022265
Germany,DEU,2001,49.33082157
Germany,DEU,2002,49.39229304
Germany,DEU,2003,49.48958188
Germany,DEU,2004,49.84553728
Germany,DEU,2005,51.09555944
Germany,DEU,2006,51.9866907
Germany,DEU,2007,52.41025641
Germany,DEU,2008,52.52791091
Germany,DEU,2009,52.93006196
Germany,DEU,2010,53.16092754
Germany,DEU,2011,54.00601043
Germany,DEU,2012,54.02269576
Germany,DEU,2013,54.58061602
Germany,DEU,2014,54.76210574
Germany,DEU,2015,54.70965901
Germany,DEU,2016,55.57996037
Spain,ESP,1972,26.14694831
Spain,ESP,1973,28.55704048
Spain,ESP,1974,28.53477721
Spain,ESP,1975,27.5365753
Spain,ESP,1976,28.66205959
Spain,ESP,1977,28.12457867
Spain,ESP,1978,28.0630684
Spain,ESP,1979,28.05090451
Spain,ESP,1980,27.81012091
Spain,ESP,1981,27.4347386
Spain,ESP,1982,27.88840417
Spain,ESP,1983,28.58949856
Spain,ESP,1984,28.61231213
Spain,ESP,1985,28.71813631
Spain,ESP,1986,29.10516265
Spain,ESP,1987,31.98722653
Spain,ESP,1988,33.50676582
Spain,ESP,1989,33.6854347
Spain,ESP,1990,34.26667007
Spain,ESP,1991,34.73218238
