Term,Start Date,End Date,Result Count
fabric,1900-01-01,1901-01-01,119.0
fabric,1901-01-01,1902-01-01,162.0
fabric,1902-01-01,1903-01-01,169.0
fabric,1903-01-01,1904-01-01,155.0
fabric,1904-01-01,1905-01-01,171.0
fabric,1905-01-01,1906-01-01,176.0
fabric,1906-01-01,1907-01-01,210.0
fabric,1907-01-01,1908-01-01,205.0
fabric,1908-01-01,1909-01-01,203.0
fabric,1909-01-01,1910-01-01,222.0
fabric,1910-01-01,1911-01-01,197.0
fabric,1911-01-01,1912-01-01,266.0
fabric,1912-01-01,1913-01-01,156.0
fabric,1913-01-01,1914-01-01,276.0
fabric,1914-01-01,1915-01-01,
fabric,1915-01-01,1916-01-01,178.0
fabric,1916-01-01,1917-01-01,277.0
fabric,1917-01-01,1918-01-01,255.0
fabric,1918-01-01,1919-01-01,202.0
fabric,1919-01-01,1920-01-01,302.0
fabric,1920-01-01,1921-01-01,491.0
fabric,1921-01-01,1922-01-01,
fabric,1922-01-01,1923-01-01,493.0
fabric,1923-01-01,1924-01-01,311.0
fabric,1924-01-01,1925-01-01,474.0
fabric,1925-01-01,1926-01-01,541.0
fabric,1926-01-01,1927-01-01,525.0
fabric,1927-01-01,1928-01-01,520.0
fabric,1928-01-01,1929-01-01,510.0
fabric,1929-01-01,1930-01-01,436.0
fabric,1930-01-01,1931-01-01,496.0
fabric,1931-01-01,1932-01-01,352.0
fabric,1932-01-01,1933-01-01,356.0
fabric,1933-01-01,1934-01-01,430.0
fabric,1934-01-01,1935-01-01,461.0
fabric,1935-01-01,1936-01-01,497.0
fabric,1936-01-01,1937-01-01,449.0
fabric,1937-01-01,1938-01-01,432.0
fabric,1938-01-01,1939-01-01,359.0
fabric,1939-01-01,1940-01-01,381.0
fabric,1940-01-01,1941-01-01,327.0
fabric,1941-01-01,1942-01-01,282.0
fabric,1942-01-01,1943-01-01,258.0
fabric,1943-01-01,1944-01-01,293.0
fabric,1944-01-01,1945-01-01,326.0
fabric,1945-01-01,1946-01-01,323.0
fabric,1946-01-01,1947-01-01,350.0
fabric,1947-01-01,1948-01-01,361.0
fabric,1948-01-01,1949-01-01,350.0
fabric,1949-01-01,1950-01-01,
fabric,1950-01-01,1951-01-01,
fabric,1951-01-01,1952-01-01,676.0
fabric,1952-01-01,1953-01-01,946.0
fabric,1953-01-01,1954-01-01,861.0
fabric,1954-01-01,1955-01-01,717.0
fabric,1955-01-01,1956-01-01,630.0
fabric,1956-01-01,1957-01-01,622.0
fabric,1957-01-01,1958-01-01,719.0
fabric,1958-01-01,1959-01-01,659.0
