Entity,Code,Year,sg_law_nodc_hr_yes_count,sg_law_eqrm_wk_yes_count,sh_mmr_leve_al_yes_count,sg_leg_dvaw_yes_count,sg_own_prrt_im_yes_count,sg_bus_regt_eq_yes_count
World,OWID_WRL,1970,6,2,45,0,121,154
World,OWID_WRL,1971,6,2,46,0,122,155
World,OWID_WRL,1972,10,2,48,0,122,155
World,OWID_WRL,1973,15,4,51,0,125,158
World,OWID_WRL,1974,15,4,52,0,126,160
World,OWID_WRL,1975,15,7,53,0,126,161
World,OWID_WRL,1976,18,8,55,0,126,161
World,OWID_WRL,1977,19,9,55,0,128,162
World,OWID_WRL,1978,22,10,56,0,130,164
World,OWID_WRL,1979,25,12,56,0,131,165
World,OWID_WRL,1980,28,13,56,0,132,166
World,OWID_WRL,1981,30,13,58,0,134,166
World,OWID_WRL,1982,31,13,58,1,136,167
World,OWID_WRL,1983,32,13,58,1,138,169
World,OWID_WRL,1984,36,14,61,1,138,169
World,OWID_WRL,1985,36,14,61,1,140,168
World,OWID_WRL,1986,38,14,63,1,141,168
World,OWID_WRL,1987,40,16,64,3,141,168
World,OWID_WRL,1988,42,17,67,3,142,171
World,OWID_WRL,1989,42,19,68,4,142,171
World,OWID_WRL,1990,45,20,69,6,145,172
World,OWID_WRL,1991,47,21,69,7,146,172
World,OWID_WRL,1992,48,21,69,10,148,172
World,OWID_WRL,1993,54,22,71,11,149,173
World,OWID_WRL,1994,58,25,72,12,151,174
World,OWID_WRL,1995,67,28,74,18,151,175
World,OWID_WRL,1996,70,29,75,26,152,176
World,OWID_WRL,1997,77,33,75,35,152,176
World,OWID_WRL,1998,81,35,77,37,153,176
World,OWID_WRL,1999,84,37,77,42,154,176
World,OWID_WRL,2000,93,40,77,45,155,176
World,OWID_WRL,2001,94,41,79,47,156,176
World,OWID_WRL,2002,103,44,79,51,159,177
World,OWID_WRL,2003,109,49,80,55,159,177
World,OWID_WRL,2004,116,52,84,60,160,178
World,OWID_WRL,2005,121,53,84,66,163,180
World,OWID_WRL,2006,123,55,88,77,164,181
World,OWID_WRL,2007,126,59,90,88,164,181
World,OWID_WRL,2008,133,60,90,97,165,181
World,OWID_WRL,2009,136,65,91,105,166,182
World,OWID_WRL,2010,138,67,92,110,166,182
World,OWID_WRL,2011,140,69,95,114,166,182
World,OWID_WRL,2012,141,70,96,122,167,182
World,OWID_WRL,2013,144,73,98,127,168,182
World,OWID_WRL,2014,145,75,100,135,168,182
World,OWID_WRL,2015,145,75,100,141,168,182
World,OWID_WRL,2016,147,79,106,144,168,182
World,OWID_WRL,2017,149,79,108,146,168,183
World,OWID_WRL,2018,152,84,109,153,168,183
World,OWID_WRL,2019,155,88,114,155,169,183
World,OWID_WRL,2020,158,91,116,157,169,184
World,OWID_WRL,2021,159,93,117,159,170,183
World,OWID_WRL,2022,159,95,118,161,170,184
World,OWID_WRL,2023,161,97,122,164,170,184
