Term,Start Date,End Date,Result Count
long,1900-01-01,1901-01-01,871.0
long,1901-01-01,1902-01-01,1017.0
long,1902-01-01,1903-01-01,1156.0
long,1903-01-01,1904-01-01,1155.0
long,1904-01-01,1905-01-01,1163.0
long,1905-01-01,1906-01-01,884.0
long,1906-01-01,1907-01-01,1121.0
long,1907-01-01,1908-01-01,1152.0
long,1908-01-01,1909-01-01,1199.0
long,1909-01-01,1910-01-01,1291.0
long,1910-01-01,1911-01-01,951.0
long,1911-01-01,1912-01-01,1080.0
long,1912-01-01,1913-01-01,1132.0
long,1913-01-01,1914-01-01,1261.0
long,1914-01-01,1915-01-01,
long,1915-01-01,1916-01-01,1505.0
long,1916-01-01,1917-01-01,1514.0
long,1917-01-01,1918-01-01,1761.0
long,1918-01-01,1919-01-01,1349.0
long,1919-01-01,1920-01-01,1514.0
long,1920-01-01,1921-01-01,1683.0
long,1921-01-01,1922-01-01,1619.0
long,1922-01-01,1923-01-01,1458.0
long,1923-01-01,1924-01-01,1145.0
long,1924-01-01,1925-01-01,1292.0
long,1925-01-01,1926-01-01,1317.0
long,1926-01-01,1927-01-01,1325.0
long,1927-01-01,1928-01-01,1156.0
long,1928-01-01,1929-01-01,1123.0
long,1929-01-01,1930-01-01,1260.0
long,1930-01-01,1931-01-01,1189.0
long,1931-01-01,1932-01-01,876.0
long,1932-01-01,1933-01-01,816.0
long,1933-01-01,1934-01-01,965.0
long,1934-01-01,1935-01-01,958.0
long,1935-01-01,1936-01-01,
long,1936-01-01,1937-01-01,
long,1937-01-01,1938-01-01,879.0
long,1938-01-01,1939-01-01,974.0
long,1939-01-01,1940-01-01,771.0
long,1940-01-01,1941-01-01,946.0
long,1941-01-01,1942-01-01,853.0
long,1942-01-01,1943-01-01,833.0
long,1943-01-01,1944-01-01,813.0
long,1944-01-01,1945-01-01,717.0
long,1945-01-01,1946-01-01,687.0
long,1946-01-01,1947-01-01,955.0
long,1947-01-01,1948-01-01,1131.0
long,1948-01-01,1949-01-01,843.0
long,1949-01-01,1950-01-01,773.0
long,1950-01-01,1951-01-01,882.0
long,1951-01-01,1952-01-01,1028.0
long,1952-01-01,1953-01-01,804.0
long,1953-01-01,1954-01-01,720.0
long,1954-01-01,1955-01-01,777.0
long,1955-01-01,1956-01-01,1013.0
long,1956-01-01,1957-01-01,
long,1957-01-01,1958-01-01,758.0
long,1958-01-01,1959-01-01,785.0
long,1959-01-01,1960-01-01,783.0
long,1960-01-01,1961-01-01,964.0
long,1961-01-01,1962-01-01,
long,1962-01-01,1963-01-01,
long,1963-01-01,1964-01-01,1130.0
long,1964-01-01,1965-01-01,1198.0
long,1965-01-01,1966-01-01,1029.0
long,1966-01-01,1967-01-01,1016.0
long,1967-01-01,1968-01-01,1060.0
long,1968-01-01,1969-01-01,1213.0
long,1969-01-01,1970-01-01,1755.0
long,1970-01-01,1971-01-01,1679.0
long,1971-01-01,1972-01-01,1191.0
long,1972-01-01,1973-01-01,943.0
long,1973-01-01,1974-01-01,800.0
long,1974-01-01,1975-01-01,757.0
long,1975-01-01,1976-01-01,779.0
long,1976-01-01,1977-01-01,776.0
long,1977-01-01,1978-01-01,
long,1978-01-01,1979-01-01,625.0
long,1979-01-01,1980-01-01,697.0
long,1980-01-01,1981-01-01,677.0
long,1981-01-01,1982-01-01,764.0
long,1982-01-01,1983-01-01,916.0
long,1983-01-01,1984-01-01,971.0
long,1984-01-01,1985-01-01,1022.0
long,1985-01-01,1986-01-01,975.0
long,1986-01-01,1987-01-01,976.0
long,1987-01-01,1988-01-01,807.0
long,1988-01-01,1989-01-01,
long,1989-01-01,1990-01-01,
long,1990-01-01,1991-01-01,
long,1991-01-01,1992-01-01,
long,1992-01-01,1993-01-01,
long,1993-01-01,1994-01-01,
long,1994-01-01,1995-01-01,
long,1995-01-01,1996-01-01,
long,1996-01-01,1997-01-01,
long,1997-01-01,1998-01-01,
long,1998-01-01,1999-01-01,
long,1999-01-01,2000-01-01,
long,2000-01-01,2001-01-01,
long,2001-01-01,2002-01-01,
long,2002-01-01,2003-01-01,
long,2003-01-01,2004-01-01,
long,2004-01-01,2005-01-01,
long,2005-01-01,2006-01-01,
long,2006-01-01,2007-01-01,
long,2007-01-01,2008-01-01,
long,2008-01-01,2009-01-01,
long,2009-01-01,2010-01-01,
long,2010-01-01,2011-01-01,
long,2011-01-01,2012-01-01,
long,2012-01-01,2013-01-01,
long,2013-01-01,2014-01-01,
long,2014-01-01,2015-01-01,
long,2015-01-01,2016-01-01,
long,2016-01-01,2017-01-01,
long,2017-01-01,2018-01-01,
long,2018-01-01,2019-01-01,
long,2019-01-01,2020-01-01,
long,2020-01-01,2021-01-01,
long,2021-01-01,2022-01-01,
long,2022-01-01,2023-01-01,
